relative_path,document_number,filename,category,line,customer,file_type,parse_status,last_modified_utc,size_kb,sheet_count,is_obsolete,included_in_zip,requires_separate_upload,is_stale,platform_entity_map,mapping_confidence
8.2.2.2 Line 102 Operating Forms/Obsolete/102 Line Paint Schedule Template.xlsx,,102 Line Paint Schedule Template.xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2023-04-21T14:21:16Z,100.5,9,True,False,False,True,,
8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.2.1 102 Line Paint Production Tracking(v2).xlsx,8.2.2.2.1,8.2.2.2.1 102 Line Paint Production Tracking(v2).xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2023-09-06T17:57:50Z,28.8,3,True,False,False,True,,
8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.2.1 102 Line Paint Production Tracking(v3).xlsx,8.2.2.2.1,8.2.2.2.1 102 Line Paint Production Tracking(v3).xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2024-06-12T17:46:47Z,23.1,1,True,False,False,False,,
8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.2.1 102 Line Paint Production Tracking.xlsx,8.2.2.2.1,8.2.2.2.1 102 Line Paint Production Tracking.xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2024-06-17T15:10:36Z,23.1,1,True,False,False,False,,
8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.2.3 102 Line Paint Schedule.xlsx,8.2.2.2.3,8.2.2.2.3 102 Line Paint Schedule.xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2024-01-07T16:06:42Z,104.4,9,True,False,False,True,,
8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.2.5 102 Rack Burn Off Tracker.xlsx,8.2.2.2.5,8.2.2.2.5 102 Rack Burn Off Tracker.xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2024-01-08T18:43:38Z,46.2,1,True,False,False,True,,
8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.2.8 Line 102 Robot Operator Maintenance.xlsx,8.2.2.2.8,8.2.2.2.8 Line 102 Robot Operator Maintenance.xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2025-01-20T14:30:11Z,16.6,1,True,False,False,False,,
8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.4.10 102 Line Paint Production Tracking and Line Paint Tracking Sheet.pdf,8.2.2.4.10,8.2.2.4.10 102 Line Paint Production Tracking and Line Paint Tracking Sheet.pdf,DOCUMENT CONTROL,Line 102,,pdf,Readable,2021-10-01T12:45:51Z,145.3,0,True,False,False,True,,
8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.4.2 102 Line Paint Production Tracking.xlsx,8.2.2.4.2,8.2.2.4.2 102 Line Paint Production Tracking.xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2022-02-24T19:37:10Z,47.7,4,True,False,False,True,,
8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.4.4 102 Line Loaded Parts Tracking.xlsx,8.2.2.4.4,8.2.2.4.4 102 Line Loaded Parts Tracking.xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2024-01-08T18:53:36Z,12.1,1,True,False,False,True,,
